,Original Text,Back Translation (en-de-en)
0,I'd like a sharp cello,I would like a sharp cello
1,give me a dry acoustic guitar,Give me a dry acoustic guitar
2,give me a metallic harp,Give me a metal harp
3,give me a dirty organ,Give me a dirty organ
4,give me a hollow piano,Give me a hollow piano
5,give me a sharp trumpet,Give me a sharp trumpet
6,give me a cold triangle,Give me a cold triangle
7,give me dark drums,give me dark drums
8,give me a soft french horn,Give me a soft horn
9,give me a dull clarinet,Give me a boring clarinet
10,give me a smooth operator,Give me a smooth operator
11,Give me a simple square bass,Give me a simple square bass
12,Give me an orchestral string,Give me an orchestral string
13,Give me an analog pad,Give me an analog pad
14,Give me a simple sine bass,Give me a simple sinus bass
15,Give me a chord preset,Give me a chord preset
16,Get me a 909 closed hi-hat,Get Me Out Of Here!
17,Get me an 808 open hi-hat,Get Me Out Of Here!
18,Give me a round bass,Give me a round bass
19,Give me a sharp synth,Give me a sharp synthesizer
20,Give me a warm pad,Give me a warm cushion
21,Give me a wide stereo pad,Give me a wide stereo pad
22,"Give me a mono, warm, round synth bass","Give me a mono warm, round synthesizer bass"
23,Make me a soft flute that sounds like a chirping bird ,Make me a soft flute that sounds like a chirping bird
24,Give me a dark brassy sound,Give me a dark tin sound
25,Can you give me a wailing guitar?,Can you give me a wailing guitar?
26,Get me a scratchy violin,Get me a scratchy violin
27,Give me a Star Wars laser beam sound,Give me a Star Wars laser beam
28,Can you combine a low piano sound with a roaring lion?,Can you combine a deep piano sound with a roaring lion?
29,Get me something like a compact bleep,Get me something like a compact beep
30,Give me a funky guitar,Give me a funky guitar
31,Give me a percussive violin,Give me a percussive violin
32,Give me a percussive guitar,Give me a percussive guitar
33,Give me a flute-like trumpet sound,Give me a flute-like trumpet sound
34,"Something nasal, anything","Something nasal, anything"
35,Get me a screeching female voice,Get Me Out Of Here!
36,Give me a sound like gentle birds,Give me a sound like gentle birds
37,I'd like a sweet bass,I would like a sweet bass
38,A noisy piano and flute please,A loud piano and a flute please
39,Please give me a brilliant acoustic guitar,Please give me a brilliant acoustic guitar
40,Give me a harsh drum,Give me a hard drum
41,Give me a warm synth,Give me a warm synthesizer
42,Get me a soft male voice,Get Me Out Of Here!
43,I want a clear electric guitar,I want a clear electric guitar
44,Can I have a smooth violin,Can I have a smooth violin?
45,A brilliant bass,A brilliant bass
46,Give a nasal sound like an oboe,Give a nasal sound like an oboe
